Country (or dependency),Country (or dependency),Population (2020),Population (2019),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Net population change,Population change [%],Density (2020)
Tonga,Tonga,105901,107102,720,-800.0,,22.0,-1201,-1.1340780540315956,Low
Australia,Australia,25550683,25847369,7682300,158246.0,,38.0,-296686,-1.1611666114757089,Low
Cayman Islands,Cayman Islands,65854,66628,240,,,,-774,-1.1753272390439458,Low
Nicaragua,Nicaragua,6638075,6717127,120340,-21272.0,,26.0,-79052,-1.1908874184157303,Low
United Arab Emirates,United Arab Emirates,9910892,10030765,83600,40000.0,,33.0,-119873,-1.209507681044249,Low
Paraguay,Paraguay,7147553,7235455,397300,-16556.0,,26.0,-87902,-1.2298194920695238,Low
Tokelau,Tokelau,1360,1377,10,,,,-17,-1.25,Low
Iran,Iran,84176929,85255972,1628550,-55000.0,,32.0,-1079043,-1.2818749897611494,Low
Philippines,Philippines,109830324,111294787,298170,-67152.0,,26.0,-1464463,-1.3333867612008503,Low
Libya,Libya,6887247,6981087,1759540,-1999.0,,29.0,-93840,-1.3625182892380656,Low
Bolivia,Bolivia,11700207,11860128,1083300,-9504.0,,26.0,-159921,-1.3668219716112715,Low
Eritrea,Eritrea,3554797,3604101,101000,-39858.0,,19.0,-49304,-1.3869709015732825,Low
Uzbekistan,Uzbekistan,33551824,34039311,425400,-8863.0,,28.0,-487487,-1.4529374021513703,Low
Djibouti,Djibouti,990447,1004887,23180,900.0,,27.0,-14440,-1.4579275821926867,Low
Turkmenistan,Turkmenistan,6046292,6135403,469930,-5000.0,,27.0,-89111,-1.4738123795542788,Low
Ecuador,Ecuador,17688599,17957991,248360,36400.0,,28.0,-269392,-1.5229696823360628,Low
Saudi Arabia,Saudi Arabia,34905942,35451285,2149690,134979.0,,32.0,-545343,-1.5623213950220853,Low
Panama,Panama,4326296,4394624,74340,11200.0,,30.0,-68328,-1.5793648885790526,Low
Mongolia,Mongolia,3287242,3340365,1553560,-852.0,,28.0,-53123,-1.6160355702439917,Low
Kyrgyzstan,Kyrgyzstan,6542426,6650771,191800,-4000.0,,26.0,-108345,-1.656037072486567,Low
Saint Martin,Saint Martin,38778,39442,53,,,,-664,-1.7123111042343597,High
Maldives,Maldives,542151,551742,300,11370.0,,30.0,-9591,-1.769064338164091,High
Algeria,Algeria,43984569,44782559,2381740,-10000.0,,29.0,-797990,-1.814249902050876,Low
Belize,Belize,398845,406120,22810,1200.0,,25.0,-7275,-1.8240168486504782,Low
Sao Tome & Principe,Sao Tome & Principe,219844,223947,960,-1680.0,,19.0,-4103,-1.8663233929513654,Low
Papua New Guinea,Papua New Guinea,8975531,9146446,452860,-800.0,,22.0,-170915,-1.9042327412160907,Low
Pakistan,Pakistan,221612785,225939807,770880,-233379.0,,23.0,-4327022,-1.9525146078553184,Low
Sierra Leone,Sierra Leone,8004158,8167926,72180,-4200.0,,19.0,-163768,-2.0460365724914475,Low
Comoros,Comoros,872695,891410,1861,-2000.0,,20.0,-18715,-2.1445063853923765,Low
Kenya,Kenya,53968739,55166062,569140,-10000.0,,20.0,-1197323,-2.218549149351072,Low
Tajikistan,Tajikistan,9573310,9789937,139960,-20000.0,,22.0,-216627,-2.2628223676032637,Low
State of Palestine,State of Palestine,5121112,5241106,6020,-10563.0,,21.0,-119994,-2.3431239152746515,High
Vanuatu,Vanuatu,308337,315600,12190,120.0,,21.0,-7263,-2.3555395557458234,Low
Liberia,Liberia,5077411,5197718,96320,-5000.0,,19.0,-120307,-2.3694556142884635,Low
Guinea-Bissau,Guinea-Bissau,1975718,2022797,28120,-1399.0,,19.0,-47079,-2.3828805527914407,Low
Syria,Syria,17571053,18001576,183630,-427391.0,,26.0,-430523,-2.450183264486198,Low
Western Sahara,Western Sahara,599769,614645,266000,5582.0,,28.0,-14876,-2.4802882443073915,Low
Côte d'Ivoire,Côte d'Ivoire,26486282,27148012,318000,-8000.0,,19.0,-661730,-2.4983876559193927,Low
Nigeria,Nigeria,206984347,212160337,910770,-60000.0,,18.0,-5175990,-2.5006673572277425,Low
Cameroon,Cameroon,26655083,27324566,472710,-4800.0,,19.0,-669483,-2.511652280354933,Low
Madagascar,Madagascar,27808395,28530106,581795,-1500.0,,20.0,-721711,-2.595299009525721,Low
